scientific,month,gno,count,longitude,latitude
Acridotheres cristatellus,8,951,1,114.2034202,22.47251924
Acridotheres cristatellus,9,860,2,113.9993603,22.48145416
Acridotheres cristatellus,9,930,2,113.9993718,22.47242379
Acridotheres cristatellus,9,931,1,114.0090884,22.47243418
Acridotheres cristatellus,9,1004,1,114.0382471,22.46343147
Acridotheres cristatellus,9,656,2,114.0576403,22.50859894
Acridotheres cristatellus,10,1138,1,113.979977,22.44531008
Acridotheres cristatellus,10,931,1,114.0090884,22.47243418
Acridotheres cristatellus,10,932,2,114.0188049,22.472444
Acridotheres cristatellus,10,656,1,114.0576403,22.50859894
Acridotheres cristatellus,11,2734,1,113.8444654,22.23738736
Acridotheres cristatellus,11,2595,1,113.8541242,22.25546796
Acridotheres cristatellus,11,2677,2,113.9705549,22.24662682
Acridotheres cristatellus,11,1004,1,114.0382471,22.46343147
Acridotheres cristatellus,11,1074,1,114.038256,22.45440106
Acridotheres cristatellus,11,656,2,114.0576403,22.50859894
Acridotheres cristatellus,11,1147,1,114.0674091,22.44539302
Acridotheres cristatellus,11,1218,2,114.0771302,22.43636887
Acridotheres cristatellus,11,951,3,114.2034202,22.47251924
Acridotheres cristatellus,12,1074,1,114.038256,22.45440106
Acridotheres cristatellus,12,656,2,114.0576403,22.50859894
Acridotheres tristis,1,656,1,114.0576403,22.50859894
Acridotheres tristis,5,656,1,114.0576403,22.50859894
Acridotheres tristis,5,1528,1,114.3685028,22.40016411
Acridotheres tristis,7,1004,1,114.0382471,22.46343147
Acridotheres tristis,7,656,1,114.0576403,22.50859894
Acridotheres tristis,9,656,1,114.0576403,22.50859894
Acridotheres tristis,11,656,1,114.0576403,22.50859894
Acridotheres tristis,11,1218,1,114.0771302,22.43636887
Acridotheres tristis,12,656,1,114.0576403,22.50859894
Acrocephalus bistrigiceps,1,930,1,113.9993718,22.47242379
Acrocephalus bistrigiceps,9,930,1,113.9993718,22.47242379
Acrocephalus bistrigiceps,10,930,3,113.9993718,22.47242379
Acrocephalus bistrigiceps,10,931,1,114.0090884,22.47243418
Acrocephalus bistrigiceps,11,930,1,113.9993718,22.47242379
Acrocephalus bistrigiceps,12,930,2,113.9993718,22.47242379
Acrocephalus orientalis,1,930,2,113.9993718,22.47242379
Acrocephalus orientalis,5,930,1,113.9993718,22.47242379
Acrocephalus orientalis,9,930,1,113.9993718,22.47242379
Acrocephalus orientalis,10,930,2,113.9993718,22.47242379
Acrocephalus orientalis,11,930,1,113.9993718,22.47242379
Actinodura cyanouroptera,1,1290,1,114.0965636,22.42734924
Actinodura cyanouroptera,1,1298,1,114.1742712,22.42736916
Actinodura cyanouroptera,4,674,1,114.2325844,22.5086334
Actinodura cyanouroptera,10,1228,1,114.174271,22.43639963
Actinodura cyanouroptera,10,1298,1,114.1742712,22.42736916
Actinodura cyanouroptera,10,1103,1,114.3200007,22.45439706
Actinodura cyanouroptera,11,1289,1,114.0868501,22.42734412
Actinodura cyanouroptera,11,1290,2,114.0965636,22.42734924
Actinodura cyanouroptera,11,1223,1,114.1257006,22.43639156
Actinodura cyanouroptera,12,1429,1,114.0868617,22.40928317
Actinodura cyanouroptera,12,1574,1,114.1354281,22.3912419
Actitis hypoleucos,1,860,1,113.9993603,22.48145416
Actitis hypoleucos,1,931,4,114.0090884,22.47243418
Actitis hypoleucos,2,860,2,113.9993603,22.48145416
Actitis hypoleucos,2,931,2,114.0090884,22.47243418
Actitis hypoleucos,3,860,1,113.9993603,22.48145416
Actitis hypoleucos,3,931,3,114.0090884,22.47243418
Actitis hypoleucos,4,860,1,113.9993603,22.48145416
Actitis hypoleucos,4,930,1,113.9993718,22.47242379
Actitis hypoleucos,4,931,6,114.0090884,22.47243418
Actitis hypoleucos,4,951,1,114.2034202,22.47251924
Actitis hypoleucos,5,931,2,114.0090884,22.47243418
Actitis hypoleucos,8,931,1,114.0090884,22.47243418
